Date : 2026-07-24 14:59:51
Directory : c:\Users\omnora\OneDrive\Desktop\new_system
Total : 112 files,  10028 codes, 492 comments, 1023 blanks, all 11543 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| omnora-prime-v13\src\lib\accounting                                                                                   |          1 |         -1 |          0 |          0 |         -1 |
| omnora-prime-v13\src\lib\db                                                                                           |          2 |          6 |          0 |          1 |          7 |
| omnora-prime-v13\src\lib\db (Files)                                                                                   |          1 |          3 |          0 |          0 |          3 |
| omnora-prime-v13\src\lib\db\migrations                                                                                |          1 |          3 |          0 |          1 |          4 |
| omnora-prime-v13\src\lib\dispatch                                                                                     |          1 |        157 |          7 |         24 |        188 |
| omnora-prime-v13\src\lib\industry                                                                                     |          1 |          8 |          0 |          0 |          8 |
| omnora-prime-v13\src\lib\parties                                                                                      |          1 |        156 |          6 |         23 |        185 |
| omnora-prime-v13\src\stores                                                                                           |          2 |         90 |          4 |         14 |        108 |
| omnora-prime-v13\supabase                                                                                             |          1 |        108 |         28 |         36 |        172 |
| omnora-prime-v13\supabase\migrations                                                                                  |          1 |        108 |         28 |         36 |        172 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                              | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\main.js                           | JavaScript     |        190 |         11 |          0 |        201 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\preload.js                        | JavaScript     |         31 |         12 |          0 |         43 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\services\mediamtxService.js       | JavaScript     |        152 |         13 |          6 |        171 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\services\onvifService.js          | JavaScript     |        326 |         31 |          1 |        358 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron-builder.yml                                     | YAML           |          3 |          3 |          1 |          7 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\main.ts                                         | TypeScript     |        299 |         16 |         38 |        353 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\preload.ts                                      | TypeScript     |         51 |         12 |         11 |         74 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\services\mediamtxService.ts                     | TypeScript     |        157 |         16 |         39 |        212 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\services\onvifService.ts                        | TypeScript     |        323 |         31 |         59 |        413 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package-lock.json                                        | JSON           |        251 |          0 |          0 |        251 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package.json                                             | JSON           |          5 |          0 |          0 |          5 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\build-electron.mjs                               | JavaScript     |         74 |         13 |         13 |        100 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\build-static.mjs                                 | JavaScript     |         10 |          1 |          2 |         13 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\check-db-accounts.js                             | JavaScript     |         36 |          0 |         10 |         46 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\download-mediamtx.ps1                            | PowerShell     |         18 |          1 |          6 |         25 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\find-rpcs.js                                     | JavaScript     |         15 |          1 |          4 |         20 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\force-seed-accounts.js                           | JavaScript     |         33 |          1 |         10 |         44 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\inspect-db-function.js                           | JavaScript     |         18 |          3 |          8 |         29 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\migrate-supabase.js                              | JavaScript     |         28 |          0 |          6 |         34 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\read-last-prompt.js                              | JavaScript     |         34 |          2 |          9 |         45 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\release.ps1                                      | PowerShell     |         43 |          9 |         10 |         62 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\search-found-step.js                             | JavaScript     |         20 |          0 |          7 |         27 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\search-history.js                                | JavaScript     |         32 |          1 |          7 |         40 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\seed-accounts-manually.js                        | JavaScript     |         68 |          6 |         12 |         86 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\test-insert-accounts.js                          | JavaScript     |         26 |          0 |          7 |         33 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\verify-build.js                                  | JavaScript     |          3 |          0 |          0 |          3 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(auth)\login\page.tsx                            | TypeScript JSX |         81 |          3 |          2 |         86 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(auth)\signup\page.tsx                           | TypeScript JSX |         43 |          0 |          2 |         45 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(hub)\settings\branches\page.tsx                 | TypeScript JSX |          7 |         -1 |          0 |          6 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(medical)\expiry\page.tsx                        | TypeScript JSX |          9 |          1 |          1 |         11 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(onboarding)\license\page.tsx                    | TypeScript JSX |          4 |          0 |          0 |          4 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\LandingClient.tsx                                | TypeScript JSX |        213 |         18 |         13 |        244 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\[adminPath]\dashboard\page.tsx                   | TypeScript JSX |         12 |          4 |          6 |         22 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\[adminPath]\licenses\page.tsx                    | TypeScript JSX |         12 |          1 |          6 |         19 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\[adminPath]\payments\page.tsx                    | TypeScript JSX |         12 |          1 |          6 |         19 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\[adminPath]\tenants\page.tsx                     | TypeScript JSX |          5 |          0 |          2 |          7 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\api\admin\logout\route.ts                        | TypeScript     |          7 |          0 |          2 |          9 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\api\hub\info\route.ts                            | TypeScript     |          5 |          0 |          0 |          5 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\api\hub\tunnel-status\route.ts                   | TypeScript     |         53 |          8 |          8 |         69 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\artisans\page.tsx                                | TypeScript JSX |          3 |          0 |          2 |          5 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\batches\page.tsx                                 | TypeScript JSX |          3 |          0 |          2 |          5 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\[slug]\page.tsx                             | TypeScript JSX |        -11 |          4 |         -8 |        -15 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\page.tsx                                    | TypeScript JSX |         95 |          7 |          9 |        111 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\best-erp-software-pakistan.ts         | TypeScript     |         58 |          0 |         29 |         87 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\factory-software-uae.ts               | TypeScript     |         38 |          0 |         14 |         52 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\index.ts                              | TypeScript     |          7 |          0 |          2 |          9 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\karigar-management.ts                 | TypeScript     |         43 |          0 |         16 |         59 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\offline-erp-load-shedding.ts          | TypeScript     |         39 |          0 |         16 |         55 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\offline-first-erp-emerging-markets.ts | TypeScript     |         53 |          0 |         15 |         68 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\vs-tallyprime.ts                      | TypeScript     |         45 |          0 |         15 |         60 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\cctv\page.tsx                                    | TypeScript JSX |       -442 |        -20 |        -31 |       -493 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\compare\vs-marg-erp\page.tsx                     | TypeScript JSX |        110 |          4 |         10 |        124 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\compare\vs-tallyprime\page.tsx                   | TypeScript JSX |        167 |          5 |         13 |        185 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\compare\vs-vyapar\page.tsx                       | TypeScript JSX |        111 |          4 |         10 |        125 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\compliance\layout.tsx                            | TypeScript JSX |        -17 |          0 |         -5 |        -22 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\dashboard\page.tsx                               | TypeScript JSX |         90 |          2 |          8 |        100 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\dealers\page.tsx                                 | TypeScript JSX |          3 |          0 |          2 |          5 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\dispatch\page.tsx                                | TypeScript JSX |         29 |          0 |          0 |         29 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\features\multi-branch\page.tsx                   | TypeScript JSX |        214 |          8 |         17 |        239 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\fulfillment\page.tsx                             | TypeScript JSX |          3 |          0 |          2 |          5 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\industries\garment\page.tsx                      | TypeScript JSX |        270 |          6 |         15 |        291 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\industries\medical\page.tsx                      | TypeScript JSX |        269 |          6 |         15 |        290 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\industries\rice-mill\page.tsx                    | TypeScript JSX |        325 |          6 |         16 |        347 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\industries\textile\page.tsx                      | TypeScript JSX |        271 |          6 |         15 |        292 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\inventory\page.tsx                               | TypeScript JSX |        237 |          6 |         20 |        263 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\[id]\page.tsx                           | TypeScript JSX |         53 |          0 |         -1 |         52 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\new\page.tsx                            | TypeScript JSX |         21 |          2 |          4 |         27 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\karigars\page.tsx                                | TypeScript JSX |          9 |          0 |          0 |          9 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\layout.tsx                                       | TypeScript JSX |        274 |         16 |         15 |        305 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\ledger\page.tsx                                  | TypeScript JSX |          3 |          0 |          1 |          4 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\og\route.tsx                                     | TypeScript JSX |        107 |          6 |          8 |        121 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pairing\page.tsx                                 | TypeScript JSX |        106 |          2 |          9 |        117 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\[partyId]\page.tsx                       | TypeScript JSX |         68 |          0 |          6 |         74 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\page.tsx                                 | TypeScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pos\page.tsx                                     | TypeScript JSX |        610 |         32 |         23 |        665 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pricing\PricingClient.tsx                        | TypeScript JSX |        -24 |         -7 |         -1 |        -32 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\grid\page.tsx                         | TypeScript JSX |        509 |         14 |         46 |        569 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\page.tsx                                | TypeScript JSX |        -22 |          0 |         -5 |        -27 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\robots.ts                                        | TypeScript     |         39 |          1 |          3 |         43 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\sales\page.tsx                                   | TypeScript JSX |        562 |          9 |         52 |        623 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\branches\page.tsx                       | TypeScript JSX |       -424 |         -7 |        -30 |       -461 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\devices\page.tsx                        | TypeScript JSX |         77 |          5 |          3 |         85 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\localization\page.tsx                   | TypeScript JSX |         -1 |          2 |         -1 |          0 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\opening-balances\page.tsx               | TypeScript JSX |        262 |          7 |         21 |        290 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\page.tsx                                | TypeScript JSX |          2 |          0 |          0 |          2 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\updates\page.tsx                        | TypeScript JSX |        217 |          4 |          9 |        230 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\whatsapp\page.tsx                       | TypeScript JSX |         18 |          0 |         -4 |         14 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\sitemap.ts                                       | TypeScript     |        116 |          0 |          4 |        120 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\technology\page.tsx                              | TypeScript JSX |        236 |         14 |         24 |        274 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\test-supabase\page.tsx                           | TypeScript JSX |          3 |          0 |          2 |          5 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\weight-entry\page.tsx                            | TypeScript JSX |        648 |         40 |         77 |        765 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\who-is-it-for\page.tsx                           | TypeScript JSX |        257 |          8 |         16 |        281 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\workflows\page.tsx                               | TypeScript JSX |         14 |          0 |          1 |         15 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\workforce\page.tsx                               | TypeScript JSX |          3 |          0 |          1 |          4 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\WhatsAppFloat.tsx                         | TypeScript JSX |         35 |          1 |          5 |         41 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\cctv\AddCameraWizard.tsx                  | TypeScript JSX |        502 |         17 |         44 |        563 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\cctv\CameraEventFeed.tsx                  | TypeScript JSX |        194 |         10 |         17 |        221 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\cctv\CameraGrid.tsx                       | TypeScript JSX |        260 |         11 |         28 |        299 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\AppShell.tsx                        | TypeScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\GlobalTopBar.tsx                    | TypeScript JSX |         20 |          0 |          5 |         25 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\IndustrialSidebar.tsx               | TypeScript JSX |         20 |         -2 |          0 |         18 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\QuickActions.tsx                    | TypeScript JSX |          5 |          0 |         10 |         15 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useLicenseValidation.ts                        | TypeScript     |          1 |          0 |          0 |          1 |
